Designator,Mid X,Mid Y,Rotation,Layer
C1,131.1,-114.2,180.0,top
C2,130.7,-105.4,0.0,top
C3,130.075,-91.4375,90.0,top
C5,150.7,-87.8875,270.0,top
C6,133.55,-99.6,90.0,top
IC1,140.0,-99.965,0.0,top
J1,140.0,-121.325,0.0,top
R1,150.5625,-94.8,180.0,top
R12,142.5875,-108.9,0.0,top
R13,138.1625,-113.475,0.0,top
U1,135.7,-89.35,0.0,top
U2,144.875,-88.895,180.0,top
U3,130.346646,-109.7875,180.0,top
U4,149.05,-99.945,90.0,bottom
