5V:1
C1:1
C2:1
C3:1
C5:1
C6:1
GND:1
H1:1
H2:1
H3:1
IC1:1
J1:1
JP2:1
R1:1
R12:1
R13:1
SCL:1
SDA:1
U1:1
U2:1
U3:1
U4:1
WSPD:1
